Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
BANWIR,BANSAL WIRE INDUSTRIES LIMITED,INE0B9K01025,18,256.00,278.00,+ 0.05,4608.00,5004.00,4012.33,396.00,8.59,
DEVIN,DEVYANI INTERNATIONAL LIMITED,INE872J01023,10,118.59,136.75, 0.00,1185.90,1367.50,0.00,181.60,15.31,
GKENEL,GK ENERGY LTD,INE1AG301022,30,153.00,119.00,+ 0.45,4590.00,3570.00,1260.86,-1020.00,(22.22),
INDR,INDIAN RAILWAY FIN CORP LTD,INE053F01010,270,26.00,115.46, 0.00,7020.00,31174.20,10623.95,24154.20,344.08,
INDREN,INDIAN RENEW. ENG.DEV. AGY LTD,INE202E01016,160,32.00,129.28, 0.00,5120.00,20684.80,6497.49,15564.80,304.00,
IRMENE,IRM ENERGY LIMITED,INE07U701015,9,505.00,261.40,+ 0.90,4545.00,2352.60,(841.85),-2192.40,(48.24),
JUPLIF,JUPITER LIFE LINE HOSP. LTD,INE682M01012,6,735.00,1263.10,- 1.17,4410.00,7578.60,4528.13,3168.60,71.85,
LENSOL,LENSKART SOLUTIONS LIMITED,INE956O01016,7,402.00,479.45,+ 0.85,2814.00,3356.15,(1137.34),542.15,19.27,
NATSEC,NATIONAL SECURITIES DEP LTD,INE301O01023,4,800.00,1003.95,+ 0.51,3200.00,4015.80,1227.09,815.80,25.49,
TATSTE,TATA STEEL LIMITED,INE081A01020,10,102.05,209.40,+ 0.67,1020.50,2094.00,0.00,1073.50,105.19,
