"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"AARTIPHARM",5,609.55,744.25,3047.75,3721.25,673.5,22.1,0,""
"ADANIPOWER",60,19.84,222.05,1190.4,13323,12132.6,1019.2,0,""
"ARE&M",4,534.11,874.55,2136.45,3498.2,1361.75,63.74,0,""
"AUTOBEES",20,249.31,265.83,4986.2,5316.6,330.4,6.63,0,""
"BAJFINANCE",6,812.35,937,4874.1,5622,747.9,15.34,0,""
"BANKBEES",43,436.2,567,18756.4,24381,5624.6,29.99,0,""
"BORORENEW",7,505.1,501.5,3535.7,3510.5,-25.2,-0.71,0,""
"CIPLA",3,872.5,1309.9,2617.5,3929.7,1312.2,50.13,0,""
"CLEAN",6,1055.38,819.15,6332.3,4914.9,-1417.4,-22.38,0,""
"CONSUMBEES",59,124.79,126.84,7362.41,7483.56,121.15,1.65,0,""
"ECLERX",2,1139.03,1429,2278.05,2858,579.95,25.46,0,""
"FEDERALBNK",23,128.5,287,2955.5,6601,3645.5,123.35,0,""
"GOLDBEES",125,64.88,123.43,8109.75,15428.75,7319,90.25,0,""
"GOODLUCK",5,914,1254.65,4570,6273.25,1703.25,37.27,0,""
"GSPL",15,284.9,285.19,4273.5,4277.85,4.35,0.1,0,""
"HAL",2,1215,4338.8,2430,8677.6,6247.6,257.1,0,""
"IDFCFIRSTB",82,67.47,69.64,5532.87,5710.48,177.61,3.21,0,""
"IEX",15,121.57,125.35,1823.5,1880.25,56.75,3.11,0,""
"IITL",17,235.93,168,4010.81,2856,-1154.81,-28.79,0,""
"IRCTC",4,662.18,539.9,2648.7,2159.6,-489.1,-18.47,0,""
"ISGEC",1,1556.45,1088.95,1556.45,1088.95,-467.5,-30.04,0,""
"ITBEES",279,36.89,32.44,10293.5,9050.76,-1242.74,-12.07,0,""
"ITC",15,337,314.95,5055,4724.25,-330.75,-6.54,0,""
"JIOFIN",24,303.45,246.4,7282.7,5913.6,-1369.1,-18.8,0,""
"KALYANKJIL",12,62.96,412.75,755.55,4953,4197.45,555.55,0,""
"KKCL",7,757,474.85,5299,3323.95,-1975.05,-37.27,0,""
"KTKBANK",25,203.5,268.61,5087.5,6715.25,1627.75,32,0,""
"LTM",1,4098.8,4270.2,4098.8,4270.2,171.4,4.18,0,""
"MANAPPURAM",15,109.1,294.5,1636.5,4417.5,2781,169.94,0,""
"MMFL",10,482.94,494.4,4829.35,4944,114.65,2.37,0,""
"NATCOPHARM",6,793,1095.85,4758,6575.1,1817.1,38.19,0,""
"NAZARA",38,262.65,263.56,9980.7,10015.28,34.58,0.35,0,""
"NIFTYBEES",95,204.97,272.01,19472.38,25840.95,6368.57,32.71,0,""
"NTPC",1,413.6,399.15,413.6,399.15,-14.45,-3.49,0,""
"OPTIEMUS",9,301.8,415.8,2716.2,3742.2,1026,37.77,0,""
"PGINVIT",31,111.91,93.22,3469.35,2889.82,-579.53,-16.7,0,""
"PHARMABEES",250,22.5,23.91,5625,5977.5,352.5,6.27,0,""
"PRUDENT",2,2391,2826.1,4782,5652.2,870.2,18.2,0,""
"RESPONIND",1,275.55,156.16,275.55,156.16,-119.39,-43.33,0,""
"SBIN",5,445.6,1068.45,2228,5342.25,3114.25,139.78,0,""
"SGBJUN31I-GB",9,5876,15354.37,52884,138189.33,85305.33,161.31,0,""
"SILVERBEES",50,111.69,227.5,5584.72,11375,5790.28,103.68,0,""
"SUPREMEIND",1,3925,3623.1,3925,3623.1,-301.9,-7.69,0,""
"TATACHEM",4,943.5,809.45,3774,3237.8,-536.2,-14.21,0,""
"TATASTEEL",26,120.2,211.36,3125.2,5495.36,2370.16,75.84,0,""
"TATATECH",13,935.88,581.35,12166.4,7557.55,-4608.85,-37.88,0,""
"TCS",6,3125.03,2473.9,18750.2,14843.4,-3906.8,-20.84,0,""
"TIMKEN",2,2839.2,3430.4,5678.4,6860.8,1182.4,20.82,0,""
"TMCV",8,98,409.95,783.98,3279.6,2495.62,318.33,0,""
"TMPV",8,216.6,341.6,1732.82,2732.8,999.98,57.71,0,""
"TTKPRESTIG",9,641.71,504.9,5775.4,4544.1,-1231.3,-21.32,0,""
"WELCORP",5,545.45,1266.75,2727.25,6333.75,3606.5,132.24,0,""
