"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"AARTIPHARM",5,609.55,776.8,3047.75,3884,836.25,27.44,-0.84,""
"ADANIPOWER",60,19.84,152.74,1190.4,9164.4,7974,669.86,-0.46,""
"ARE&M",4,534.11,865.7,2136.45,3462.8,1326.35,62.08,-1.22,""
"BANKBEES",36,416.23,619.79,14984.14,22312.44,7328.3,48.91,-0.12,""
"BORORENEW",7,505.1,496.65,3535.7,3476.55,-59.15,-1.67,-2.41,""
"CIPLA",3,872.5,1330.8,2617.5,3992.4,1374.9,52.53,-0.14,""
"CLEAN",3,1410.87,797.25,4232.6,2391.75,-1840.85,-43.49,-1.53,""
"CONSUMBEES",39,129.79,131.16,5061.81,5115.24,53.43,1.06,0.73,""
"ECLERX",1,2278.05,4185.9,2278.05,4185.9,1907.85,83.75,-6.92,""
"FEDERALBNK",23,128.5,287,2955.5,6601,3645.5,123.35,-0.19,""
"GOLDBEES",125,64.88,125.04,8109.75,15630,7520.25,92.73,-0.14,""
"GOODLUCK",5,914,1152,4570,5760,1190,26.04,0.1,""
"GSPL",15,284.9,306.25,4273.5,4593.75,320.25,7.49,2.12,""
"HAL",2,1215,4068.1,2430,8136.2,5706.2,234.82,0.82,""
"IDFCFIRSTB",82,67.47,85.11,5532.87,6979.02,1446.15,26.14,-0.43,""
"IEX",15,121.57,120.95,1823.5,1814.25,-9.25,-0.51,-3.12,""
"IITL",17,235.93,138.46,4010.81,2353.82,-1656.99,-41.31,1.31,""
"IRCTC",4,662.18,620,2648.7,2480,-168.7,-6.37,-0.28,""
"ISGEC",1,1556.45,769.2,1556.45,769.2,-787.25,-50.58,-4.29,""
"ITBEES",130,38.3,39.35,4979,5115.5,136.5,2.74,-1.58,""
"ITC",15,337,326.05,5055,4890.75,-164.25,-3.25,5.09,""
"JIOFIN",18,329.29,268.1,5927.3,4825.8,-1101.5,-18.58,-0.69,""
"KALYANKJIL",12,62.96,380.25,755.55,4563,3807.45,503.93,1.09,""
"KKCL",7,757,480.85,5299,3365.95,-1933.05,-36.48,-0.57,""
"KTKBANK",25,203.5,200.3,5087.5,5007.5,-80,-1.57,0.17,""
"MANAPPURAM",15,109.1,300.9,1636.5,4513.5,2877,175.8,2.09,""
"MMFL",10,482.94,431.15,4829.35,4311.5,-517.85,-10.72,-3.59,""
"NATCOPHARM",6,793,823.55,4758,4941.3,183.3,3.85,-0.65,""
"NAZARA",38,262.65,259,9980.7,9842,-138.7,-1.39,-6.46,""
"NIFTYBEES",77,192.91,290.65,14853.78,22380.05,7526.27,50.67,0.1,""
"NTPC",1,413.6,365.1,413.6,365.1,-48.5,-11.73,-0.49,""
"OPTIEMUS",9,301.8,408.55,2716.2,3676.95,960.75,35.37,-2.89,""
"PGINVIT-IV",31,111.91,93.27,3469.35,2891.37,-577.98,-16.66,0.3,""
"PHARMABEES",250,22.5,22.49,5625,5622.5,-2.5,-0.04,-0.66,""
"PRUDENT",2,2391,2573.5,4782,5147,365,7.63,1.7,""
"RESPONIND",1,275.55,189.86,275.55,189.86,-85.69,-31.1,0.4,""
"SBIN",5,445.6,1066.4,2228,5332,3104,139.32,-0.65,""
"SGBJUN31I-GB",9,5876,15903.85,52884,143134.65,90250.65,170.66,-1.06,""
"SILVERBEES",50,111.69,224.46,5584.72,11223,5638.28,100.96,-5.06,""
"SUPREMEIND",1,3925,3678.6,3925,3678.6,-246.4,-6.28,-1.67,""
"TATACHEM",4,943.5,704.1,3774,2816.4,-957.6,-25.37,-0.75,""
"TATASTEEL",26,120.2,197.06,3125.2,5123.56,1998.36,63.94,-0.35,""
"TATATECH",11,1007.76,617.65,11085.4,6794.15,-4291.25,-38.71,-3.91,""
"TCS",4,3343.65,2941.6,13374.6,11766.4,-1608.2,-12.02,-1.67,""
"TIMKEN",2,2839.2,3245,5678.4,6490,811.6,14.29,2.05,""
"TMCV",8,98,458.25,783.98,3666,2882.02,367.61,0.52,""
"TMPV",8,216.6,369.9,1732.82,2959.2,1226.38,70.77,-1.14,""
"TTKPRESTIG",7,693.2,568.75,4852.4,3981.25,-871.15,-17.95,2.12,""
"WELCORP",9,545.45,824.75,4909.05,7422.75,2513.7,51.21,-1.64,""
